index,base,category,location,description,confidence,source_raw,data_mp4,data_cover,old_data_size_bytes,raw_size_bytes,duration_s,width,height,codec,bit_rate,status
2,ea8b266deca2d1ef1a4b73e746de627d,入境/接驳,大巴到酒店途中,旅游大巴/接驳车内部，乘客坐在车上前往下一站。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ea8b266deca2d1ef1a4b73e746de627d_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\02_大巴到酒店途中_旅游大巴内部乘客前往下一站.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\02_大巴到酒店途中_旅游大巴内部乘客前往下一站.jpg,235626,3928181,2.1,1920,1080,hevc,14964499,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
3,f5f02f235412326afcc03abf6066cfb1,入境/集合,横琴口岸周边商业楼和停车道路旁,横琴口岸周边商业楼和停车道路旁，同学在户外步行/集合转场，背景有大型玻璃建筑、商铺招牌和城市高楼。,中高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f5f02f235412326afcc03abf6066cfb1_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\03_口岸或交通接驳区_户外道路旁同学集合.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\03_口岸或交通接驳区_户外道路旁同学集合.jpg,1110229,12447037,7.1,1920,1080,hevc,14021538,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
4,2c989b2ac90e6437aff4d6fc894efc58,口岸,口岸/通关大厅,明亮室内大厅、导向牌和通行空间，像在口岸或交通枢纽内。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2c989b2ac90e6437aff4d6fc894efc58_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\04_口岸通关大厅_明亮大厅导向牌和通行空间.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\04_口岸通关大厅_明亮大厅导向牌和通行空间.jpg,739612,10965933,6.4,1920,1080,hevc,13703846,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
5,b36bdb212b3aa013abbb9b149088c7cd,口岸,口岸/通关排队区,人群沿栏杆排队前进，符合通关或出入口动线。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\b36bdb212b3aa013abbb9b149088c7cd_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\05_口岸通关排队区_人群沿栏杆排队前进.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\05_口岸通关排队区_人群沿栏杆排队前进.jpg,542085,7453146,4.35,1920,1080,hevc,13696440,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
6,8a4d593cbc9967463131b9d24d3dbd3b,入境/接驳,口岸外交通接驳区,画面有大巴、道路和上车人群，像从口岸外换乘。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8a4d593cbc9967463131b9d24d3dbd3b_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\06_口岸外交通接驳区_大巴道路和上车人群.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\06_口岸外交通接驳区_大巴道路和上车人群.jpg,1050506,14671484,8.62,1920,1080,hevc,13608332,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
7,83fa9efb3a7bb7be42f9b4fa975a9818,交通途中,大巴行驶途中,从车窗拍高架道路和口岸/桥梁式设施，属于路上移动镜头。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83fa9efb3a7bb7be42f9b4fa975a9818_raw.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\07_大巴行驶途中_车窗外高架道路和口岸设施.mp4,E:\Project\1600\data\01_入境口岸与接驳大巴\07_大巴行驶途中_车窗外高架道路和口岸设施.jpg,686878,9800872,5.5,1920,1080,hevc,14251494,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
8,2771e590bd61b9652c7dc26eec186569,路氹车窗外景,路氹/金光大道一带,可见巴黎铁塔造型地标和大型酒店建筑，像接近路氹度假区。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2771e590bd61b9652c7dc26eec186569_raw.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\08_路氹金光大道_车窗外巴黎铁塔和酒店群.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\08_路氹金光大道_车窗外巴黎铁塔和酒店群.jpg,1734972,23193117,10.9,1920,1080,hevc,17014666,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
9,87125a2a0d2f9be927a928077c0fd367,酒店/娱乐场,酒店或娱乐场室内通道,金色装饰、宽阔大堂和商场式动线，像大型酒店综合体内部。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\87125a2a0d2f9be927a928077c0fd367_raw.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\09_酒店娱乐场室内通道_金色装饰和宽阔大堂.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\09_酒店娱乐场室内通道_金色装饰和宽阔大堂.jpg,597510,12016766,4.47,1920,1080,hevc,21498498,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
10,8d02ecd1b20894552d1eda2b4e32588b,酒店/娱乐场,酒店娱乐场附近,画面出现 “GAMING” 指示，周围是豪华酒店/娱乐场公共区域。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8d02ecd1b20894552d1eda2b4e32588b_raw.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\10_酒店娱乐场附近_GAMING指示和豪华通道.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\10_酒店娱乐场附近_GAMING指示和豪华通道.jpg,864863,15141629,7.34,1920,1080,hevc,16510635,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
11,049db99d93cd7bd5322bd1ca9a11b474,交通途中,出租车/车内,后排视角拍摄车内和前方道路，像从酒店打车去历史城区。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\049db99d93cd7bd5322bd1ca9a11b474_raw.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\11_出租车车内_后排视角前往历史城区.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\11_出租车车内_后排视角前往历史城区.jpg,491767,9201529,4.3,1920,1080,hevc,17105864,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
